Price,Close,High,Low,Open,Volume,Stock,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,745.7932739257812,748.9405080269321,739.6955191101448,746.5309041044027,9949971.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-02,753.7597045898438,756.0709217701979,740.9248916511425,745.6949360852623,15713063.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-03,758.3330078125,759.8574315511984,747.6128182722189,752.2844761986004,19136981.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-04,746.7767944335938,762.5129051974931,745.5965741206016,762.2178651263697,15889530.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-05,752.1369018554688,755.0382592164787,740.1872690077914,745.4490669404528,9939620.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-08,755.6283569335938,757.3003307083899,749.2355619341073,753.4154663568485,9797174.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-09,751.5960083007812,759.7099404774816,748.5471007991034,755.7759127554451,7465892.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-10,766.2010498046875,767.8238602251583,751.0550793371193,753.858050032298,14530669.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-12,753.6613159179688,766.6436188392265,752.1860555866552,764.4307283422563,14408722.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-15,745.0064697265625,750.7107976870864,736.4007844326914,747.2685235695379,11356572.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-16,739.3021850585938,742.449419298921,732.1225963415505,738.8595949261493,13338991.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-18,732.5159301757812,747.4160837844539,729.7621228499714,739.6463552305821,14589648.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-19,738.07275390625,739.5971775724088,719.9762032095691,722.3858070836892,10886554.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-22,753.464599609375,756.3167935835725,738.0727528961959,741.711740371673,17452186.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-23,760.2508544921875,764.873349054308,752.9237158810972,757.6445371245081,12292429.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-24,760.3491821289062,765.6601435522289,757.4970480544174,765.6601435522289,7842615.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-25,799.2960815429688,800.9680553035759,756.9561208729216,757.939627787573,36732974.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-26,788.0841064453125,803.4268508710434,785.7237257841617,802.4433439217722,14964358.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-29,812.8684692382812,817.5401271074668,785.5269888727478,793.6900843016249,27302732.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-04-30,812.6226196289062,821.0807554103152,806.3773744909647,812.8684963670693,27449073.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-02,816.3599243164062,820.1464620561013,811.3932262703905,813.2619134695647,19943724.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-03,817.73681640625,822.4084741378065,806.4756505002724,821.0315404792121,22667634.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-06,794.4768676757812,822.211774466103,789.7560465266515,821.2282675588468,35283557.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-07,788.6741943359375,801.213907107652,780.1176724389506,798.6075898535049,16725013.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-08,797.4273681640625,808.4426572515345,786.3137523997589,789.3625997234939,27908322.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-09,806.2789306640625,825.80157830838,790.2969438155828,798.5092623055917,49290254.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-10,803.869384765625,818.3269489937785,802.1482475962853,813.3602508822412,20543142.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-13,795.4603881835938,806.3281276888877,785.4286055523614,806.3281276888877,15398505.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-14,804.7053833007812,808.8361244184822,794.5752739127639,799.5911352516514,10912462.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-15,806.7706909179688,811.6882253744095,804.5578004125705,807.4591577475699,9755062.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-16,798.5584716796875,812.5242822288577,784.199234343245,811.688265313029,20536990.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-17,804.361083984375,808.8852516842761,797.8207991991598,801.0663599224279,12492509.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-21,816.9500732421875,822.5068515008398,806.082273405747,807.459207149192,14037801.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-22,818.75,826.6500244140625,813.5499877929688,826.5499877929688,19239277.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-23,832.0999755859375,835.5,822.0,824.7000122070312,17497488.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-24,828.5999755859375,841.25,827.0,830.0,12252075.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-27,833.7000122070312,839.4000244140625,823.0,832.5999755859375,12295193.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-28,831.1500244140625,840.7000122070312,823.2999877929688,835.7000122070312,13818893.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-29,822.6500244140625,834.4500122070312,819.2999877929688,828.4000244140625,14518232.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-30,825.8499755859375,836.0,819.2999877929688,821.4000244140625,17818705.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-05-31,830.3499755859375,835.0,817.0999755859375,830.7000122070312,22267336.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-06-03,905.6500244140625,912.0,856.75,863.5499877929688,64269020.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-06-04,775.2000122070312,897.0,731.9500122070312,897.0,122381193.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-06-05,789.75,795.0,744.0499877929688,790.75,74256082.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
2024-06-06,816.9500122070312,833.3499755859375,796.0,800.0,40555649.0,SBIN.NS,,,,,,,,,,,,,,,,,,,,
