Date,Close,High,Low,Open,Volume,Stock
10-06-2024,831.7999878,845.4500122,829.2000122,834.1500244,16725508,SBIN.NS
11-06-2024,835.5499878,839.5999756,829.0499878,836,14754408,SBIN.NS
12-06-2024,839.0999756,845.5499878,833,837,15071442,SBIN.NS
13-06-2024,843.9000244,845.9000244,836.0999756,845,12523972,SBIN.NS
14-06-2024,839.2000122,849.9000244,835.0999756,845,12903496,SBIN.NS
18-06-2024,844.9000244,851.5,840.25,841.5499878,14929083,SBIN.NS
19-06-2024,852.5999756,860.5999756,841,846.7999878,32925140,SBIN.NS
20-06-2024,843.75,853.0999756,842.3499756,853,13985352,SBIN.NS
21-06-2024,836.2999878,848.0499878,828.5999756,844.9000244,18990090,SBIN.NS
24-06-2024,832.7000122,836,821.0499878,831.5,12715254,SBIN.NS
25-06-2024,842.25,845.8499756,834.2999878,837,20917530,SBIN.NS
26-06-2024,845.3499756,848.7999878,836,839.8499756,16281760,SBIN.NS
27-06-2024,844,847.4000244,838.25,843.9000244,20378887,SBIN.NS
28-06-2024,848.9500122,864,844,846.9000244,23636388,SBIN.NS
01-07-2024,841.9500122,850.5,839.9500122,849.3499756,10967797,SBIN.NS
02-07-2024,826.1500244,846.2999878,823.1500244,844,21142840,SBIN.NS
03-07-2024,839.9500122,843.8499756,825,829,23598009,SBIN.NS
04-07-2024,839.2999878,844.9000244,834.2999878,843,13372587,SBIN.NS
05-07-2024,859.75,861.25,837,838,24873722,SBIN.NS
08-07-2024,856.25,865,853.5,859.75,10359800,SBIN.NS
09-07-2024,861.2999878,869.9500122,856,859.9000244,13585081,SBIN.NS
10-07-2024,849,860.25,843.5,860.0999756,17343236,SBIN.NS
11-07-2024,856.7000122,858.2999878,849.75,854.4000244,8501366,SBIN.NS
12-07-2024,859.7000122,863,855.2999878,856.7000122,11446064,SBIN.NS
15-07-2024,881.3499756,887.3499756,859.7000122,859.7000122,25392820,SBIN.NS
16-07-2024,880.7000122,888.0999756,874.2999878,882.2999878,11893692,SBIN.NS
18-07-2024,893.5499878,894.9000244,877.5,880.6500244,19435183,SBIN.NS
19-07-2024,889.3499756,899,883.2999878,895,14562742,SBIN.NS
22-07-2024,876.7999878,895,868,881.4500122,14614111,SBIN.NS
23-07-2024,863.9000244,884.5,849.0999756,883,18279212,SBIN.NS
24-07-2024,852,868,847.2000122,864.2000122,19624845,SBIN.NS
25-07-2024,848.5,850.75,841.2000122,847.5,9522375,SBIN.NS
26-07-2024,862.4500122,864.25,844,844.6500244,12081506,SBIN.NS
29-07-2024,871.5999756,889.0999756,863.2000122,866.0499878,26582781,SBIN.NS
30-07-2024,872.7999878,880.5499878,869,874.7000122,13528447,SBIN.NS
31-07-2024,872.4000244,874.9500122,868,873.8499756,11636874,SBIN.NS
01-08-2024,862.6500244,881.4000244,859.4500122,877.7999878,11787203,SBIN.NS
02-08-2024,847.8499756,858.2999878,846.1500244,856.7000122,12609331,SBIN.NS
05-08-2024,811.6500244,831.3499756,800,830,27676951,SBIN.NS
06-08-2024,797.7000122,826.5499878,795.6500244,822.6500244,17900930,SBIN.NS
07-08-2024,808.6500244,810.7000122,800.5499878,809,17692355,SBIN.NS
08-08-2024,808.0499878,817.7999878,802.7999878,812,14769069,SBIN.NS
09-08-2024,824.2999878,829.9500122,809.5499878,816,15320885,SBIN.NS
12-08-2024,812.5999756,823,811.2000122,820.5999756,16120449,SBIN.NS
13-08-2024,797.5499878,820,795.0499878,813.5,17585172,SBIN.NS
14-08-2024,803,809.1500244,800.4000244,800.9500122,11788665,SBIN.NS
16-08-2024,812.0999756,814.9000244,803,803,11427335,SBIN.NS
19-08-2024,813.7000122,825.4000244,812.5999756,815,10151482,SBIN.NS
20-08-2024,820.2999878,823,813.3499756,817.9500122,10347493,SBIN.NS
21-08-2024,815.5499878,821,811.2000122,820.2999878,14607257,SBIN.NS
22-08-2024,820.2999878,823.9000244,817.0999756,819,7832917,SBIN.NS
23-08-2024,815.3499756,822,814.5,821.5,5537747,SBIN.NS
26-08-2024,815.0499878,823.4500122,813.7999878,818,8523795,SBIN.NS
27-08-2024,815.9000244,819.4500122,811.0499878,817.7999878,12833290,SBIN.NS
28-08-2024,809.4000244,817.2000122,806.5,814.75,10371300,SBIN.NS
29-08-2024,814.5,816,806.9500122,809.5499878,18247268,SBIN.NS
30-08-2024,815.5999756,820.7000122,814.3499756,817.1500244,8911426,SBIN.NS
02-09-2024,822.1500244,825.4000244,813.0499878,817.2999878,11813750,SBIN.NS
03-09-2024,824.7999878,825.9500122,816.4000244,822.1500244,10548350,SBIN.NS
